296897797452603400	254465689	negative	There is no way in hell I'm gonna wait till 1am for transfer news.
296569182131212300	17412577	neutral	I had a very vivid dream that I was pregnant last night, (like, scary real) and today I've felt off. And something still doesn't feel right.
296569236652949500	397123248	neutral	@H_Kife like that can ah?! But I don't see any difference leh
296569236631982100	426396307	neutral	RT @jeff_hollander: Almighty God,my Father,please teach me your knowledge &amp; understanding of my body,soul &amp; spirit.Thank you Fat ...
296569236623589400	411719450	positive	Ethiopian national football team is the best one team.we proud with their appearance.they are good players.we are so gland.
296569232437698560	507343892	neutral	Sometimes you just need to distance yourself from people.
296569232454455300	779215909	negative	i feel like shittt
296569232446066700	337500190	negative	@luke_brooks FUCK ME
296569228243374100	346257282	negative	@maoxian I've heard it's even less than that at times. I'm not qualified to give a good answer and can't back that up. I've heard it tho
296569228247584800	718884877	positive	If the tornado comes while im sleeping atleast I'll die happy
296569228243386400	554617215	positive	RT @MileyCyrus: @TeamMileyNY haha that made me laughhhh!
296569224074252300	87633984	neutral	Now watching The Last Airbender with my students @British5International
296569219867373600	588537895	positive	Having fun playing CSR Racing for iPad, why not join me for FREE?http://t.co/Lwxtz6jw
296569232429309950	764930588	neutral	RT @anaayakhn: Panic Away Review – All Hype or Does It Work? http://t.co/PhO6z8Zv
296569224070053900	834440792	neutral	RT @changinghabits: NatviaThere has been many questions on facebook and through our emails regarding Natvia, so I thought it was... htt ...
296569224040677400	1086743414	positive	I'm so happy I have a short day at work tm ^.^
296569219842187260	508400351	positive	Happy Birthday @_silviarosibell &lt;3 (: have a great day today ^-^
296569224044871700	576235778	neutral	Weather forecast for Braga for tomorrow: 14°C, Partly Cloudy  - http://t.co/LvHiog0l  #forecast #Braga
296569219846377500	46944879	neutral	Lost in a simple game, cat and mouse, are we the same people as before this came to light?
296569215681454100	308709764	negative	I thank god he aint get that much time.
296569224040697860	14259241	negative	RT @KrishnaBaaluu: #Vishwaroopam violent threat, fear of riots etc shaping our secularism -Judiciary loosing nerves succumbing 2 bullyin ...
296569219846373400	16343659	neutral	@adamamyl @ewebber so tempted to deploy @gdsteam
296569215664656400	24185819	neutral	RT @Designspiration: Best way to annoy designers? This will do it -&gt; http://t.co/gYwSl1xV
296569219871567900	92603501	positive	RT @onceon5: Morning Oncers! Once Upon A Time season 2 will air this spring on @channel5_tv (date tbc). RT and spread the word! #onceon5
296569215685632000	235198302	neutral	New Kenyan Hiphop Joint https://t.co/KzRL6uGO Check it @GhaflaKenya
296569211478753300	759677011	neutral	@runon003             a
296569207288627200	487482810	positive	@lina303 @Nguyetlpy ho ho ho! to my two sisters!
296569207288639500	162780699	neutral	jq=ujw5pmkw4,kqgjhmg
296569203085963260	508043436	neutral	@uhNaate @Carmeen24 @Indirapskrr  ►► GET NEW FOLLOWERS ►► - http://t.co/vpokqTKY
